date,location,meal,place,item,portion_size,nutrition_info
11/14/2024,The Atrium,Lunch,VEGETABLES,STEAMED WHITE RICE,4 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=163017*4
11/14/2024,The Atrium,Lunch,VEGETABLES,YAMS BAKED,1 EACH,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=161038*1
11/14/2024,The Atrium,Lunch,CANTINA,FRESH COOKED GREEN BEANS,3 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=130254*3
11/14/2024,The Atrium,Lunch,FRUIT,BEEF TACO MEAT,3 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=019802*3
11/14/2024,The Atrium,Lunch,FRUIT,CHICKEN BURRITO,4 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=111321*4
11/14/2024,The Atrium,Lunch,FRUIT,HOMESTYLE REFRIED BEANS,3 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=143058*3
11/14/2024,The Atrium,Lunch,FRUIT,NEXT LEVEL TEMPEH TACO MEAT,4 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=143038*4
11/14/2024,The Atrium,Lunch,FRUIT,PORK BURRITO,4 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=250004*4
11/14/2024,The Atrium,Lunch,FRUIT,TACO BAR SIDES,5 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=500500*5
11/14/2024,The Atrium,Lunch,FRUIT,TRICOLOR TORTILLA CHIPS,2 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=150094*2
11/14/2024,The Atrium,Lunch,BREADS,BANANAS,1 EACH,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=120128*1
11/14/2024,The Atrium,Lunch,BREADS,CANTALOUPE MELON,1 SLICE,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=120003*1
11/14/2024,The Atrium,Lunch,BREADS,CUT HONEYDEW,1 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=120027*1
11/14/2024,The Atrium,Lunch,BREADS,CUT PINEAPPLE,1 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=120028*1
11/14/2024,The Atrium,Lunch,BREADS,GOLDEN DELICIOUS APPLES,1 EACH,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=120023*1
11/14/2024,The Atrium,Lunch,BREADS,GRANNY SMITH APPLES,1 EACH,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=120024*1
11/14/2024,The Atrium,Lunch,BREADS,GREEN SEEDLESS GRAPES,1 BUNCH,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=120011*1
11/14/2024,The Atrium,Lunch,BREADS,RED DELICIOUS APPLES,1 EACH,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=120022*1
11/14/2024,The Atrium,Lunch,BREADS,RED GRAPEFRUIT,1 HALF,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=120013*1
11/14/2024,The Atrium,Lunch,BREADS,RED SEEDLESS  GRAPES,1 BUNCH,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=120004*1
11/14/2024,The Atrium,Lunch,BREADS,WATERMELON,1 WEDGE,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=120000*1
11/14/2024,The Atrium,Lunch,BREADS,WHOLE ORANGES,1 EACH,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=120017*1
11/14/2024,The Atrium,Lunch,COOK TO ORDER BAR,ENGLISH MUFFIN,1 EACH,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=211034*1
11/14/2024,The Atrium,Lunch,COOK TO ORDER BAR,PANINI BREAD,1 EACH,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=211064*1
11/14/2024,The Atrium,Lunch,COOK TO ORDER BAR,PITA BREAD,1 EACH,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=211027*1
11/14/2024,The Atrium,Lunch,COOK TO ORDER BAR,SLICED PUMPERNICKEL BREAD,2 SLICE,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=211030*2
11/14/2024,The Atrium,Lunch,COOK TO ORDER BAR,SLICED RYE BREAD,2 SLICE,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=150167*2
11/14/2024,The Atrium,Lunch,COOK TO ORDER BAR,SLICED WHITE BREAD,1 SLICE,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=150150*1
11/14/2024,The Atrium,Lunch,COOK TO ORDER BAR,SLICED WHOLE WHEAT BREAD,2 SLICES,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=150152*2
11/14/2024,The Atrium,Lunch,COOK TO ORDER BAR,VARIETY WRAPS,1 EACH,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=150198*1
11/14/2024,The Atrium,Lunch,WOK/ MONGOLIAN GRILL,OMELETS MADE TO ORDER,6 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=500154*6
11/14/2024,The Atrium,Lunch,PIZZA/ PASTA,CHICKEN HUNAN STYLE,6 OZ.,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=520013*6
11/14/2024,The Atrium,Lunch,PIZZA/ PASTA,THAI GREEN CURRY BEEF,6 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=019882*6
11/14/2024,The Atrium,Lunch,PIZZA/ PASTA,VEGETABLE LO MEIN,6 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=143154*6
11/14/2024,The Atrium,Lunch,VEGETARIAN,ALFREDO SAUCE,3 OZL,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=157009*3
11/14/2024,The Atrium,Lunch,VEGETARIAN,MARINARA SAUCE,4 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=157169*4
11/14/2024,The Atrium,Lunch,VEGETARIAN,PASTA CHEESE RAVIOLI MINI,6 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=140140*6
11/14/2024,The Atrium,Lunch,VEGETARIAN,PASTA STATION,10 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=150365*10
11/14/2024,The Atrium,Lunch,VEGETARIAN,PENNE PASTA WW,4 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=140181*4
11/14/2024,The Atrium,Lunch,VEGETARIAN,PIZZA PEPPER AND ONION,1 SLICE,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=130161*1
11/14/2024,The Atrium,Lunch,VEGETARIAN,ROUND CHEESE PIZZA LARGE,1 SLICE,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=150166*1
